公司	年	月	日	季底普通股市值	ROE(A)－稅後	營業毛利率	稅後淨利成長率	自由現金流量(D)	ROE標準差(Rolling三年)	流動比率	負債比率	利息保障倍數	現金股利率	CAPM_Beta 一年	收盤價(元)_年	近一年報酬率 %	下一年成長
2475 華映	2014	12	31	8941647	-16.17	11.31	12.87	-10507667	11.29959881	75.85	79.48	-0.36	0	0.7132	1.38	-31.0003	-47.1017
2475 華映	2015	12	31	4730001	-52.21	-3.74	-130.93	4993412	20.23925888	67.44	87.68	-1.43	0	0.8574	0.73	-47.1017	75.3419
2475 華映	2016	12	30	8293701	-2.52	15.75	89.39	-45440169	25.6719698	128.34	60.3	1.07	0	0.8191	1.28	75.3419	83.3339
2475 華映	2017	12	29	14967539	6.19	18.84	498.43	5228777	31.50534399	88.1	57.6	2.53	0	0.6981	2.31	83.3339	-73.1603
2475 華映	2018	12	28	4017261		-23.7	-808.88	-1469262		14.4	113.59	-7.49	0	1.4034	0.62	-73.1603	
2475 華映	2019	12	31												0.17		
2476 鉅祥	2007	12	31	7944148	19.06	30.13	14.3	25481		292.27	27.48	67.13	3.4	1.0859	18.62	-11.6746	-61.6374
2476 鉅祥	2008	12	31	2964523	11.13	27.89	-33.04	-299926		567.1	18.81	318.64	9	1.1155	7.21	-61.6374	148.1361
2476 鉅祥	2009	12	31	6987094	8.58	26.03	-18.97	378955	5.465311824	598.21	17.78	1589.8	3.5	0.937	17.91	148.1361	-10.7959
2476 鉅祥	2010	12	31	5985448	11.38	24.93	35.93	437116	1.549462272	513.03	20.12	3034.36	4.9	1.1352	15.98	-10.7959	-35.2244
2476 鉅祥	2011	12	30	3652345	7.94	24.66	-27.07	152155	1.82953546	547.04	19.84	550.81	4.68	0.9161	10.35	-35.2244	20.6448
2476 鉅祥	2012	12	28	4238674	8.74	26.48	14.82	245114	1.800148142	576.33	19.96	509.37	5.76	0.8564	12.58	20.6448	24.8145
2476 鉅祥	2013	12	31	4983802	7.37	26.72	-12.1	191105	0.688210239	528.21	21.19	437.04	6.27	0.3437	15.71	24.8145	16.9265
2476 鉅祥	2014	12	31	4915420	8.59	27.57	13.93	1154015	0.751420876	410.87	24.05	448.19	5.49	0.3469	18.24	16.9265	-13.6564
2476 鉅祥	2015	12	31	3943139	9.23	27.81	1.52	488682	0.944951498	434.37	24.09	224.47	7.07	0.7873	15.74	-13.6564	25.6616
2476 鉅祥	2016	12	30	4705301	11.1	29.93	19.2	583833	1.304262244	346.68	27.91	207.15	6.59	0.5613	19.78	25.6616	11.8314
2476 鉅祥	2017	12	29	4924152	8.75	29.19	-21.05	349695	1.241625279	322.74	30.33	113.06	6.01	0.5893	22.1	11.8314	-13.5627
2476 鉅祥	2018	12	28	4060048	6.91	26.79	-20.56	337335	2.10016666	325.89	31.05	99.93	5.74	0.5741	19.1	-13.5627	13.6218
2476 鉅祥	2019	12	31	4374493	7.35	26.26	7.09	341747	0.960832972	315.53	33.02	47.21	5.5	0.1503	21.7	13.6218	-6.5782
2476 鉅祥	2020	12	31	3828838	6.77	28.14	-6.06	178663	0.302654919	297.56	35.64	38.42	5.8	0.6973	20.27	-6.5782	
2477 美隆電	2007	12	31	6212763	16.19	17.72	93.45	237154		235.62	33.04	3181.52	5.39	0.8758	11.85	2.2529	-66.7574
2477 美隆電	2008	12	31	1891724	-0.81	11.46	-104.87	582326		205.62	33.09	-0.71	3.47	0.8972	3.95	-66.7574	109.5212
2477 美隆電	2009	12	31	3863380	0.84	13.8	198.01	90517	9.375011111	238.59	29.24	-16.42	1.7	0.8304	8.26	109.5212	11.2483
2477 美隆電	2010	12	31	4223074	6.98	14.66	723.02	131573	4.105001015	242.5	30.56	4463.02	4.98	1.0651	9.19	11.2483	-29.0853
2477 美隆電	2011	12	30	2785786	-8.95	4.29	-222.95	454790	8.034390663	187.66	33.46	-7656.49	0	0.8439	6.53	-29.0853	26.1344
2477 美隆電	2012	12	28	3188180	4.87	13.24	150.72	284464	8.652643141	166.88	37.93	227.13	4.49	0.8409	8.2	26.1344	45.9387
2477 美隆電	2013	12	31	4477781	39.77	33.38	886.56	-280253	25.10856693	289.75	29.52	610.32	16	0.6404	11.96	45.9387	-20.1368
2477 美隆電	2014	12	31	2961306	-5.16	8.64	-113.62	764502	23.58430198	205.81	36.44	-46.31	8.06	0.8687	9.44	-20.1368	6.2444
2477 美隆電	2015	12	31	2853839	7.95	17.32	233.71	138733	23.10515599	235.76	35.21	28.21	9.21	0.8561	10.05	6.2444	53.6418
2477 美隆電	2016	12	30	4059855	9.65	23.31	21.56	197348	8.104506977	275.59	33.4	60.1	0	0.682	15.45	53.6418	40.3312
2477 美隆電	2017	12	29	5232902	9.86	25.43	-0.95	668330	1.04739359	228.17	38.01	70.3	4.92	1.123	21.17	40.3312	-24.3596
2477 美隆電	2018	12	28	4003963	4.93	19.86	-52	189595	2.787693192	223.63	39.96	28.48	4.26	0.9985	17.25	-24.3596	36.3842
2477 美隆電	2019	12	31	5232902	12.06	22.95	147.63	-235517	3.651068337	252.13	43.85	47.3	6.06	0.4561	23.5	36.3842	42.3741
2477 美隆電	2020	12	31	6937560	5.1	22.27	-57.85	-136512	4.068320702	147.93	65.75	9.39	4.14	1.0955	33.45	42.3741	
2478 大毅	2007	12	31	4178819	6.23	30.5	-27.64	118919		242.28	24.24	102.61	0.79	0.8648	18.4	-29.9857	-35.2866
2478 大毅	2008	12	31	2619810	5.23	31.03	-11.87	-50584		263.68	22.9	20.49	2.78	0.9108	11.97	-35.2866	262.8234
2478 大毅	2009	12	31	9360674	8.16	31.6	63.23	-7461	1.489395851	299.22	21.27	68.68	1.27	1.015	43.47	262.8234	-21.8008
2478 大毅	2010	12	31	7391221	13.01	33.75	72.64	156082	3.929287467	199.84	31.7	238.08	2.9	1.1255	34	-21.8008	-43.1877
2478 大毅	2011	12	30	4115980	5.26	19.94	-56.12	-255363	3.915673633	247.48	26.24	104.31	1.72	1.2313	19.36	-43.1877	4.3194
2478 大毅	2012	12	28	4327646	2.38	15.29	-53.68	249593	5.497784402	222.47	27.37	19.91	0.84	1.2376	20.46	4.3194	-10.7782
2478 大毅	2013	12	31	3823678	1.8	13.45	-22.83	-633664	1.853033549	286.66	29.09	7	0.97	0.3819	18.26	-10.7782	19.0881
2478 大毅	2014	12	31	4729072	3.61	14.98	112.04	413957	0.924247442	236.08	25.8	23.81	2.2	0.9169	21.76	19.0881	-17.2777
2478 大毅	2015	12	31	3671491	4.84	16.8	40.52	-409540	1.529193687	379.38	26.11	67.65	1.38	0.6793	18	-17.2777	13.7399
2478 大毅	2016	12	30	3328132	4.82	19.3	-7.19	1089925	0.704438311	248.14	32.71	51.54	2.7	0.4362	20.23	13.7399	103.0114
2478 大毅	2017	12	29	7151213	4.29	17.59	-17.21	291170	0.311929479	194.03	34.75	39.84	2.1	1.3512	40.87	103.0114	44.6836
2478 大毅	2018	12	28	9756461	25.92	38.57	602.82	-356319	12.33793473	260.49	32.25	638.13	4.86	2.0401	55.93	44.6836	-11.9369
2478 大毅	2019	12	31	7698144	6.99	24.22	-71.3	1188629	11.7862335	215.64	31.24	305.17	3.31	1.4696	49.6	-11.9369	66.2872
2478 大毅	2020	12	31	12447812	11.98	24.05	70.56	59077	9.811291114	210.53	35.84	69.7	3.45	1.3689	82.38	66.2872	
2479 和立	2007	12	31	484600		-44.05	36.18	-597775		5.62	162.65	-11.17	0		9.45	1.6304	
2479 和立	2008	12	31	56086		-1346.07	58.68	-71035		5.15	203.12	-2.53	0		0.81		
2480 敦陽科	2007	12	31	3445616	8.96	27.08	1.05	338728		332.53	25.8	40.65	7.72	0.9092	7.23	-6.0165	-32.0901
2480 敦陽科	2008	12	31	1362738	7.9	28.96	-23.59	1339036		266.89	29.4	72.45	16.49	0.6805	4.78	-32.0901	244.8269
2480 敦陽科	2009	12	31	4241105	10.04	30.49	8.22	222424	1.070015576	250.15	32.28	112.3	5.64	0.6925	16.48	244.8269	2.1501
2480 敦陽科	2010	12	31	4081565	10.25	28.56	3.53	398860	1.300397375	254.19	30.17	178.03	6.09	1.2359	16.84	2.1501	-18.1441
2480 敦陽科	2011	12	30	3137620	10.17	29.5	0.14	259435	0.105987421	239.75	32.59	279.33	8.05	1.0572	13.81	-18.1441	13.7998
2480 敦陽科	2012	12	28	3383578	9.48	28.5	-6.74	247547	0.423359579	255.79	31.28	358.73	7.86	0.8368	16.01	13.7998	30.2559
2480 敦陽科	2013	12	31	4068270	9.82	30.63	3.43	152091	0.345012077	264.55	31.26	551.55	6.54	0.398	20.86	30.2559	-1.5619
2480 敦陽科	2014	12	31	3742543	9.75	26.02	0.29	135072	0.17953644	249.24	34.57	763.33	7.1	0.4922	20.52	-1.5619	-6.9703
2480 敦陽科	2015	12	31	3237333	9.68	25.3	0.19	308099	0.07	254.4	33.61	3439.13	8.21	0.6691	19.09	-6.9703	21.9352
2480 敦陽科	2016	12	30	3656125	10.86	26.14	11.75	211321	0.661991944	217.42	41.36	1283.13	7.64	0.4357	23.28	21.9352	20.1036
2480 敦陽科	2017	12	29	3797052	11.59	26.56	1.99	557187	0.963794584	209.3	41.33	6386.07	7.34	0.3357	27.72	20.1036	14.5165
2480 敦陽科	2018	12	28	4068270	15.64	29.72	32.24	286507	2.575001618	188.88	46.82	731.59	8.94	0.4323	31.64	14.5165	49.7348
2480 敦陽科	2019	12	31	5711532	16.42	24.36	10.46	445660	2.592932703	192.34	45.29	335.93	8.29	0.658	47.38	49.7348	31.8696
2480 敦陽科	2020	12	31	7072940	17.69	24.85	11.45	455544	1.034714131	175.04	50.74	360.8	6.47	0.6593	62.5	31.8696	
2481 強茂	2007	12	31	9343621	9.36	22.35	28.66	-582537		137.5	54.94	3.74	0.56	1.1609	25.21	84.5153	-62.2775
2481 強茂	2008	12	31	3740199	4.32	15.98	-42.5	-945341		151.13	57.35	2.52	3.33	1.3064	9.55	-62.2775	131.7179
2481 強茂	2009	12	31	8762095	-1.64	17.99	-140.73	-975095	5.506408388	172.35	54.73	0.79	0	0.9867	22.15	131.7179	42.8789
2481 強茂	2010	12	31	14280308	14.81	18.56	1184.05	-1515845	8.328307151	146.89	55.41	8.5	3.12	1.2339	31.67	42.8789	-59.967
2481 強茂	2011	12	30	5411654	-14.79	11.44	-217.51	-3852626	14.83062709	156.34	60.11	-5.71	0	1.4889	12.73	-59.967	-21.7683
2481 強茂	2012	12	28	4277253	-13.22	9.52	15.16	409261	16.65485815	153.43	64.17	-2.79	0	1.5131	10.06	-21.7683	21.3047
2481 強茂	2013	12	31	5188493	-9.61	12.66	34.74	-834182	2.656106173	158.5	66.39	-0.99	0	0.9981	12.2	21.3047	7.5263
2481 強茂	2014	12	31	5772525	-0.12	18.22	98.72	181527	6.766365346	143.68	62.67	1.56	1.33	0.6411	13.12	7.5263	-0.0252
2481 強茂	2015	12	31	5739586	4.31	20.08	3805.53	2724629	7.111626631	120.33	62.2	3.44	5.68	1.2597	13.12	-0.0252	18.713
2481 強茂	2016	12	30	6101601	9.21	20.18	99.45	-1181292	4.666972609	177.28	58.96	5.57	6.06	1.1831	15.57	18.713	91.3382
2481 強茂	2017	12	29	11093820	-2.24	22.35	-123.35	504110	5.744780239	143.28	63.36	2.34	0	1.142	29.93	91.3382	-15.5889
2481 強茂	2018	12	28	9411257	12.11	22.33	588.1	231258	7.587654447	161.18	57.57	7.75	1.96	2.0116	25.39	-15.5889	3.4412
2481 強茂	2019	12	31	9218948	7.71	21.02	-40.3	451030	7.351700484	168.06	58.67	8.1	3.79	1.0553	26.32	3.4412	102.6339
2481 強茂	2020	12	31	18005237	13.22	23.34	79.03	-858992	2.914109355	184.15	59.19	13.77	2.77	1.5705	53.38	102.6339	
2482 連宇	2007	12	31	2118778	13.28	38.13	40.86	140584		287.4	28.36	39.38	2.36	1.1153	29.03	33.2594	-56.2704
2482 連宇	2008	12	31	837972	-0.85	34.01	-106.36	135632		262.91	28.7	-0.61	0	0.7509	12.7	-56.2704	117.0388
2482 連宇	2009	12	31	1818710	5.19	34.19	684.93	74820	7.089741415	276.66	28.44	8.1	1.71	0.837	27.56	117.0388	-39.0996
2482 連宇	2010	12	31	1080053	2.36	34.83	-54.41	74509	3.021991617	282.68	27.91	9.08	0	1.1509	16.8	-39.0996	-42.5287
2482 連宇	2011	12	30	620720	0.83	34.84	-65.26	10302	2.2120654	379.51	22.25	3.07	0	0.904	9.65	-42.5287	7.426
2482 連宇	2012	12	28	673481	0.5	37.23	-39.53	15687	0.992421282	397.29	22.84	17.52	0	0.6882	10.47	7.426	48.8477
2482 連宇	2013	12	31	1002463	-1.37	37.72	-371.98	27150	1.186437244	395.14	20.19	-9.92	0	0.082	15.59	48.8477	19.5044
2482 連宇	2014	12	31	1197990	-1.36	35.5	1.87	-144	1.076769861	372.38	21.29	-18.18	0	0.1122	18.63	19.5044	-32.6426
2482 連宇	2015	12	31	806936	1.72	42.65	226.96	-40535	1.781132598	343.06	24.55	15.85	1.15	0.717	12.55	-32.6426	1.8607
2482 連宇	2016	12	30	813143	2.19	46.43	29.15	13292	1.928289397	307.75	26.92	20.58	2.44	1.051	12.78	1.8607	-2.2666
2482 連宇	2017	12	29	775900	-8.91	41.6	-484.07	30161	6.277310995	244.7	32.41	-34.62	0	0.3354	12.5	-2.2666	-11.2904
2482 連宇	2018	12	28	682792	0.45	39.53	104.76	-7822	5.970025126	239.22	33.7	5.85	0	0.238	11	-11.2904	10.9096
2482 連宇	2019	12	31	757278	3.16	41.59	614.9	26510	6.332964024	232.38	35.02	12.34	0	0.1544	12.2	10.9096	-8.1974
2482 連宇	2020	12	31	695206	-4.12	39.02	-229.04	14202	3.679388536	233.47	35.94	-7.56	0	0.8835	11.2	-8.1974	
2483 百容	2007	12	31	1952364	4.8	25.95	-44.65	187972		298.07	21.95	16.16	4.79	0.7318	8.21	-30.4956	-47.1596
2483 百容	2008	12	31	970810	1.98	17.49	-59.54	153450		312.86	18.02	11.24	3.61	0.5423	4.34	-47.1596	116.9797
2483 百容	2009	12	31	2049898	1.25	19.49	-37.76	62741	1.874735537	280.87	19.07	17.35	2.86	0.6229	9.42	116.9797	5.0654
2483 百容	2010	12	31	2104229	6.36	20.92	417.38	-7343	2.763735395	314.88	18.62	142.46	4.48	0.6531	9.89	5.0654	-33.5498
2483 百容	2011	12	30	1280663	0.82	15.78	-87.15	94728	3.081898765	446.77	12.54	317.74	2.65	0.842	6.57	-33.5498	-3.5805
2483 百容	2012	12	28	1195663	-0.67	16.89	-178.93	68468	3.704335298	391.55	15.84	126.67	2.79	0.6558	6.3	-3.5805	101.9269
2483 百容	2013	12	31	2357326	5.63	20.91	940.32	-16009	3.292572449	425.37	15.44	638.68	7.07	0.3897	12.72	101.9269	23.8057
2483 百容	2014	12	31	2725659	7.97	24.65	46.48	131319	4.468691084	513.18	12.31	354.66	5.3	0.8022	15.72	23.8057	-17.6563
2483 百容	2015	12	31	2066561	8.17	26.56	5.6	132311	1.412279481	502.94	12.93	3268.09	6.96	0.6923	12.96	-17.6563	-0.4305
2483 百容	2016	12	30	1897099	7.55	29.43	-5.77	204498	0.316438514	391.25	16.23	501.19	7.58	0.5326	12.9	-0.4305	53.3788
2483 百容	2017	12	29	2710141	6.69	29.74	-10.5	-213599	0.743236167	178.97	39.75	29.71	5.31	0.4286	19.79	53.3788	-18.9602
2483 百容	2018	12	28	2057495	6.59	22.38	-1.49	315605	0.527762573	168.41	34.96	19.19	6.92	0.672	15.97	-18.9602	17.5644
2483 百容	2019	12	31	2273200	6.62	20.18	-0.3	319150	0.051316014	144.14	34.92	17.61	4.87	0.331	18.78	17.5644	4.0795
2483 百容	2020	12	31	2203679	3.5	21.11	-47.47	-309355	1.79273534	167.01	38.75	10.16	3.47	0.5969	19.52	4.0795	
2484 希華	2007	12	31	2721017	6.53	24.96	-11.57	-160613		199.13	28.37	8.62	4.98	1.0487	11.54	1.8434	-53.2757
2484 希華	2008	12	31	1204865	3.55	19.8	-40.24	-199082		213.23	32.23	3.24	3.39	1.1257	5.37	-53.2757	96.3207
2484 希華	2009	12	31	2311372	-10.66	13.68	-385.09	-97071	9.186045576	237.42	33.8	-8.69	0	0.8466	10.54	96.3207	26.0058
2484 希華	2010	12	31	3168861	1.02	19.83	109.34	-102489	7.580098944	230.62	32.73	2.41	1.24	1.1805	13.28	26.0058	-49.6996
2484 希華	2011	12	30	1571610	-5.09	14.72	-596.57	-278586	5.842080109	284.83	37.03	-3.4	0	1.1835	6.68	-49.6996	-3.616
2484 希華	2012	12	28	1469251	-5.62	11.71	-2.07	388604	3.690135499	237.42	33.51	-5.57	0	1.4235	6.24	-3.616	66.1309
2484 希華	2013	12	31	2440878	5.43	18.14	194.78	145128	6.232359104	205.77	33.96	11.86	3.87	0.9404	10.37	66.1309	45.1088
2484 希華	2014	12	31	3475378	10.85	21.03	111.99	-14594	8.393844967	325.14	30.67	28.11	4.59	1.1282	15.05	45.1088	-9.189
2484 希華	2015	12	31	2981173	8.94	21.67	-12.7	225972	2.749078634	305.34	31.84	28.05	6.42	1.3511	13.68	-9.189	4.5629
2484 希華	2016	12	30	2925375	8.21	20.37	-5.84	118791	1.363243681	416.68	28.32	31.95	6.54	1.138	14.31	4.5629	22.5584
2484 希華	2017	12	29	3371754	5.85	16.71	-28.77	557916	1.615064498	319.88	29.15	28.99	4.73	1.0205	17.54	22.5584	-10.4377
2596 綠意	2018	12	28	2140000	16.27	43.26	11.02	272369	5.294339745	1351.07	6.86	1204.92	9.35	0.4116	17.7	42.6563	13.4567
2484 希華	2019	12	31	3379725	4.03	20.09	-53.33	317228	2.343210049	415.69	25.24	25.51	4.48	0.4651	19.78	25.6192	18.7145
2484 希華	2020	12	31	3850017	5.32	20.55	33.34	30443	2.400562434	306.71	31.74	37.82	4.14	1.0471	23.47	18.7145	
2485 兆赫	2007	12	31	28372464	41.31	31.26	175.74	299611		251.09	31.38	201.35	2.51	1.3028	52.37	178.6624	-59.0671
2485 兆赫	2008	12	31	11547995	25.99	29.35	-21.18	696951		285.16	28.2	238.48	8.25	1.242	21.91	-59.0671	78.6885
2485 兆赫	2009	12	31	19601411	17.45	28.3	-27.51	975395	12.08948303	315.39	25.64	181.55	4.05	1.2097	39.15	78.6885	-2.6542
2485 兆赫	2010	12	31	18235349	15.37	25.54	-9.65	945173	5.627942193	304.16	26.17	175.71	4.36	0.9551	38.13	-2.6542	-39.0689
2485 兆赫	2011	12	30	10451968	13.01	16.74	-12.79	677921	2.221470984	291.22	27.59	172.01	6.08	1.3017	23.25	-39.0689	-19.7473
2485 兆赫	2012	12	28	7894572	7.16	18.15	-44.94	633073	4.226823078	414.14	20.32	81.4	5.23	1.3511	18.8	-19.7473	46.5483
2485 兆赫	2013	12	31	10992039	10.94	19	54.52	355108	2.966361408	356.52	24.14	205.05	4.62	0.9437	27.56	46.5483	-2.3264
2485 兆赫	2014	12	31	10197817	8.04	16.49	-23.61	404130	1.977911356	364.06	23.61	146.02	4.67	0.9332	26.91	-2.3264	65.3359
2485 兆赫	2015	12	31	16202139	11.25	15.54	44.5	479795	1.770602534	308.56	27.17	268.59	3.92	0.8593	44.55	65.3359	-31.0267
2485 兆赫	2016	12	30	10626697	6.97	13.04	-37.62	667251	2.227382619	372.12	22.03	503.13	4.19	0.9404	30.75	-31.0267	-1.4752
2485 兆赫	2017	12	29	10038972	0.31	10.96	-95.72	442563	5.512978626	409.39	19.15	30.63	1.27	0.753	30.41	-1.4752	-34.7315
2485 兆赫	2018	12	28	6417318	4.03	8.39	1162.39	47749	3.337603931	333.09	22.91	260.51	2.48	1.1832	19.76	-34.7315	3.2644
2485 兆赫	2019	12	31	6480856	-1.88	6.54	-146.08	45912	2.987825296	348.98	21.25	-343.85	0	0.8896	20.4	3.2644	-3.1863
2485 兆赫	2020	12	31	6274358	-2.39	3.42	-22.28	-28643	3.568487074	277.15	25.58	-789.67	0	1.1609	19.75	-3.1863	
2486 一詮	2007	12	31	5963040	19.58	24	36.45	146856		176.35	40.93	29.59	4.74	1.0193	23.73	15.1851	-56.9406
2486 一詮	2008	12	31	2468060	11.95	22.32	-33.29	-726724		253.18	43.09	11.2	8.18	1.2413	10.26	-56.9406	310.6892
2486 一詮	2009	12	31	11437330	17.18	22.28	75.5	265042	3.901491168	281.05	26.13	25.86	4.47	1.153	42.16	310.6892	-29.3599
2486 一詮	2010	12	31	7655966	9.83	20.3	-34.43	-1475130	3.783071944	275.87	48.65	14.08	3.31	1.1342	29.82	-29.3599	-59.3716
2486 一詮	2011	12	30	2879744	-9.83	7.52	-193.47	54631	13.9647067	244.71	51.59	-5.25	0	1.1631	12.12	-59.3716	25.3521
2486 一詮	2012	12	28	3661389	1.86	12.11	117.78	1752383	9.8884832	115.32	55.63	2.24	2.77	1.5696	15.41	25.3521	11.9579
2486 一詮	2013	12	31	3947202	4.93	12.55	171.19	-1801770	7.788224017	196.61	54.87	4.28	3.88	0.5599	17.25	11.9579	2.6794
2486 一詮	2014	12	31	3954493	4.86	11.15	4.54	-30751	1.752607581	190.42	54.51	5.5	3.89	1.0251	17.74	2.6794	-44.7804
2486 一詮	2015	12	31	2052540	-7.22	6.37	-244.96	603811	6.994686078	156.07	54.43	-5.32	0	0.9536	9.8	-44.7804	-10.6005
2486 一詮	2016	12	30	1834971	-3.04	9.73	62.17	-803137	6.134720858	262.11	51.58	-2.14	0	0.7345	8.76	-10.6005	21.6367
2486 一詮	2017	12	29	2227006	-4.73	8.63	-45.56	590574	2.10272046	187.12	52.62	-3.47	0	1.3082	10.63	21.6367	-9.7598
2486 一詮	2018	12	28	1904464	-3.5	8.46	28.45	1014598	0.873746722	134.82	48.05	-2.48	0	1.3641	9.24	-9.7598	-2.969
2486 一詮	2019	12	31	1847916	-5.95	9.07	-60.82	111452	1.225003401	128.35	49.08	-6	0	0.6045	8.96	-2.969	112.0207
2486 一詮	2020	12	31	3917985	-5.33	12.41	15.6	-1067099	1.273826257	185.82	52.21	-2.64	0	1.2536	19.01	112.0207	
2488 漢平	2007	12	31	2229002	14.48	25.64	34.67	127476		338.82	32.83	39.3	8.29	0.5475	9.29	49.7057	-41.4438
2488 漢平	2008	12	31	1176133	9.71	20.74	-32.96	399028		254.87	32.52	11.61	8.5	0.5533	5.47	-41.4438	59.8054
2488 漢平	2009	12	31	1699983	6.51	23.38	-34.68	-142966	4.010689882	386.8	28.53	29.29	4.12	0.618	8.75	59.8054	-8.4183
2488 漢平	2010	12	31	1287984	6.14	22.02	-11.02	198931	1.963067328	253.97	40.1	16.38	7.45	0.9928	8.04	-8.4183	-36.0722
2488 漢平	2011	12	30	762390	0.37	16.98	-94.52	-17139	3.443094538	350.29	35.46	7.78	6.3	0.6294	5.15	-36.0722	11.534
2488 漢平	2012	12	28	799990	4.77	20.46	1163.24	264706	3.014680746	237.13	36.4	16.05	6	0.4059	5.76	11.534	216.0051
2488 漢平	2013	12	31	2447969	18.02	24.34	311.21	-12549	9.187355441	254.12	35.69	183.09	6.54	0.9425	18.22	216.0051	-25.2547
2488 漢平	2014	12	31	1699979	10.88	22.01	-33.66	120023	6.63166897	264.42	36	77.15	7.53	1.2268	13.62	-25.2547	21.3613
2488 漢平	2015	12	31	1951976	13.63	23.27	31.35	85179	3.601254411	305.44	33.39	357.81	9.02	1.1119	16.61	21.3613	85.1242
2488 漢平	2016	12	30	3467957	23.56	27.35	89.47	246366	6.670204894	265.29	37.17	150.6	8.07	0.8165	30.74	85.1242	-23.6794
2488 漢平	2017	12	29	2387970	9.84	25.45	-57.3	359109	7.085282869	189.56	48.57	42.98	6.37	0.7953	23.22	-23.6794	5.3768
2488 漢平	2018	12	28	2375970	14.95	23.34	52.24	77546	6.934005576	327.65	32.44	44.57	8.42	0.9228	24.49	5.3768	21.6847
2488 漢平	2019	12	31	2703966	13.66	23.67	-4.05	313752	2.657335758	329.76	31.81	324.46	6.8	0.5564	29.77	21.6847	-0.5311
2488 漢平	2020	12	31	2491969	8.73	22.36	-35.49	191034	3.28271737	267.09	37.71	80.76	4.82	0.7742	29.57	-0.5311	
2489 瑞軒	2007	12	31	18744857	19.9	13.97	86.81	-6668958		177.26	68.18	11.14	2.13	1.3358	11.68	43.9075	-64.1819
2489 瑞軒	2008	12	31	6658807	8.87	14.5	-45.03	1667669		184.98	62.36	5.87	7.31	1.2762	4.24	-64.1819	309.2138
2489 瑞軒	2009	12	31	28524440	18.47	18.19	167.17	-4612365	5.998135822	220.93	56.57	31.05	5.1	0.7958	17.37	309.2138	-21.6608
2489 瑞軒	2010	12	31	21394939	14.54	16.15	-0.42	1612820	4.826209693	172.9	64.13	22.17	7.32	1.1832	13.57	-21.6608	-32.1601
2489 瑞軒	2011	12	30	12940263	7.42	12.13	-46.07	3901754	5.60121713	178.43	56.33	13.81	12.27	1.0668	9.16	-32.1601	54.1344
2489 瑞軒	2012	12	28	18790024	8.53	10.26	5.81	6702765	3.830722299	183.73	46.67	25.29	10.73	1.0628	14.32	54.1344	-0.6271
2489 瑞軒	2013	12	31	16854112	7.5	9.01	-21.8	2224824	0.619058425	197.47	41.77	39.14	10.94	0.3922	14.22	-0.6271	-7.4084
2489 瑞軒	2014	12	31	13975564	5.77	11.83	-24.99	1622625	1.39471622	295.51	26.61	68.43	9.55	0.7592	13.11	-7.4084	3.8955
2489 瑞軒	2015	12	31	13141202	11.74	8.62	102.48	966704	3.071682492	268.49	32.31	879.85	11.09	0.4719	13.6	3.8955	52.6615
2489 瑞軒	2016	12	30	18481118	11.26	10.03	-4.08	325663	3.316911214	238.25	38.23	132.39	7.44	0.5201	20.75	52.6615	-18.8898
2489 瑞軒	2017	12	29	13641819	-6.31	7.54	-150.89	1915808	10.28540876	281.01	30.05	-205.27	0	0.3903	16.81	-18.8898	-31.1924
2489 瑞軒	2018	12	28	9105323	1.5	11.26	121.47	325913	8.803016528	231.22	35.87	74.84	0	0.8945	11.57	-31.1924	-5.3331
2489 瑞軒	2019	12	31	8619705	0.14	13.82	-90.81	366232	4.172293534	264.99	30.14	7.97	0	0.5593	10.95	-5.3331	17.371
2489 瑞軒	2020	12	31	10117025	4.64	7.99	3303.06	9207	2.307928364	239.53	34.39	64.19	1.05	1.115	12.85	17.371	
2491 吉祥全	2007	12	31	3438271	-4.72	19.48	-575.15	-1204461		187.95	48.62	0.94	0	0.6551	103.46	108.5379	
2491 吉祥全	2008	12	31	1551631	-16.69	-8.97	-263.62	766328		47.38	50.14	-5.17	0		46.71		-51.4647
2491 吉祥全	2009	12	31	753085	-25.93	-2.49	-38.13	-2558753	10.63424186	140.82	53.41	-7.31	0	0.0545	22.69	-51.4647	-47.4642
2491 吉祥全	2010	12	31	584040	-11.12	-15.98	60.46	-552771	7.480403287	156.34	49.41	-4.33	0	0.4366	11.93	-47.4642	-47.1336
2491 吉祥全	2011	12	30	398400	-32.04	-18.44	-157.27	1077741	10.75728126	55.39	54.9	-12.58	0	0.9613	6.31	-47.1336	-64.1352
2491 吉祥全	2012	12	28	127260	-78.69	-14.17	-58.75	-1135991	34.59184345	46.44	72.54	-26.01	0	0.7131	1.99	-64.1352	9.4058
2491 吉祥全	2013	12	31	139230	-38.95	7.09	79.06	-216902	25.17683525	46.56	84.47	-8.21	0	-0.2415	2.17	9.4058	452.0349
2491 吉祥全	2014	12	31	768600	27.93	8.07	147.99	-146507	53.88262924	48.15	73.29	6.82	0	0.6626	11.99	452.0349	-42.6229
2491 吉祥全	2015	12	31	492856	-0.7	18.96	-103.09	32665	33.55511337	44.18	69.11	0.81	0	1.0057	6.88	-42.6229	7.5719
2491 吉祥全	2016	12	30	560292	-6.23	20.66	-814.19	-1196616	18.33559107	277.98	68.78	-0.74	0	0.6328	7.4	7.5719	-8.7122
